field	baseline_enumeration	enumeration_description
in.puma	G39003200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004101	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004102	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004103	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004104	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004105	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004106	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004107	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004108	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004109	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004110	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004111	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004601	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004602	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004603	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004604	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39004900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005301	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005302	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005401	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005402	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005403	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005501	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005502	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005503	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005504	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005505	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005506	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005507	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39005700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000601	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000602	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000701	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000702	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40000900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001003	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001004	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001005	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001006	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001101	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001102	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001201	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001202	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001203	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001204	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001301	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001302	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001501	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G40001601	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000703	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000704	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000705	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000901	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41000902	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001103	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001104	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001105	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001301	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001302	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001303	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001305	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001314	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001316	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001317	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001318	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001319	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001320	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001321	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001322	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001323	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G41001324	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000101	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000102	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000701	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000702	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000803	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42000900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001501	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001502	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001701	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001702	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001803	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001804	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001805	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001806	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001807	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42001900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002003	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002301	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002302	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002401	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002402	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002701	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002702	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002703	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002803	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002901	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42002902	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003003	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003004	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003101	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003102	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003103	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003104	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003105	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003106	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003201	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003202	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G42003203	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
